Site_id	Site_name	Parameters	Axis_title
433204112562001	CFA 1	O-PO4 as P, CR	
433144112563501	CFA 2	O-PO4 as P, CR	
433216112571001	CFA LF 3-9	NH3, O-PO4 as P	
433216112563301	CFA LF 2-10	NH3, TOC	
433433112560201	CPP 1	CR, TOC	
433432112560801	CPP 2	CR	
433520112572601	MTR TEST	O-PO4 as P, CR	
433058113010401	RWMC M11S	O-PO4 as P, CR, TOC	
433118112593401	RWMC M12S	TOC	
433037113002701	RWMC M13S	TOC	
433052113025001	RWMC M14S	TOC	
433002113021701	RWMC Production	O-PO4 as P	
433253112545901	USGS 20	O-PO4 as P	
433334112565501	USGS 34	O-PO4 as P, CR, TOC	
433330112565201	USGS 36	O-PO4 as P	
433326112564801	USGS 37	NH3, O-PO4 as P	
433322112564301	USGS 38	O-PO4 as P, CR, TOC	
433411112561101	USGS 40	NH3, O-PO4 as P	
433404112561301	USGS 42	NH3	
433415112561501	USGS 43	NH3, O-PO4 as P	
433407112561501	USGS 46	NH3	
433407112560301	USGS 47	O-PO4 as P	
433401112560301	USGS 48	O-PO4 as P	
433350112560601	USGS 51	NH3, O-PO4 as P	
433414112554201	USGS 52	O-PO4 as P	
433344112562601	USGS 57	O-PO4 as P	
433354112554701	USGS 59	NH3, O-PO4 as P	
433447112574501	USGS 65	O-PO4 as P, TOC, NI, MO, PB, CU, CO, CD, AS, AL, SB, MN, SE, ZN	
433344112554101	USGS 67	O-PO4 as P	
433425112573201	USGS 76	O-PO4 as P, CR	
433315112560301	USGS 77	O-PO4 as P, CR, TOC	
433505112581901	USGS 79	CR	
433401112551001	USGS 82	NH3, O-PO4 as P	
433356112574201	USGS 84	O-PO4 as P, TOC, CR, NI, PB, CU, CO, CD, AS, SB, MN, SE, ZN 	
433246112571201	USGS 85	O-PO4 as P	
433013113024201	USGS 87	O-PO4 as P, TOC	
432940113030201	USGS 88	NH3, O-PO4 as P	
433005113032801	USGS 89	O-PO4 as P, SO4	
432856112560801	USGS 104	O-PO4 as P	
432703113001801	USGS 105	O-PO4 as P, TOC, CR	
432659112582601	USGS 108	O-PO4 as P, TOC, CR	
433331112560501	USGS 111	O-PO4 as P	
433314112561801	USGS 113	O-PO4 as P, NO3+NO2	
433318112555001	USGS 114	O-PO4 as P	
433320112554101	USGS 115	O-PO4 as P	
433331112553201	USGS 116	O-PO4 as P	
432919113031501	USGS 120	O-PO4 as P, TOC, CR	
433352112561401	USGS 123	O-PO4 as P	
432307112583101	USGS 124	O-PO4 as P	
433058112572201	USGS 127	O-PO4 as P	
433459112572601	CWP 1	CR	
433455112572501	CWP 3	CR	
433500112573001	CWP 8	CR	
433456112572001	PW 8	CR	
433419112560201	USGS 50	NH3	
433503112573401	USGS 53	CR	
433503112572801	USGS 54	CR	
433456112571901	USGS 60	CR	
433453112571601	USGS 61	CR	
433446112570701	USGS 62	CR	
433455112574001	USGS 63	CR	
433436112564801	USGS 66	CR	
433516112573901	USGS 68	CR	
433450112573001	USGS 69	CR	
433504112571001	USGS 70	CR	
433439112571501	USGS 71	CR	
433519112574601	USGS 72	CR	
433502112575401	USGS 73	CR	
433413112573501	USGS 78	CR	
