Site_id	Site_name	Parameters	Axis_title
433433112560201	CPP 1	 P34668	
433002113021701	RWMC Production	P34010, P39180, P32106, P34668, P34475, P32102, P34506, P32101, P32105, P32104, P34371, P81551	
433334112565501	USGS 34	P34010, P34668, P34506, P34501, P34423	
433322112564301	USGS 38	P34010, P34668, P34506, P34501	
433447112574501	USGS 65	P34010, P39180, P34668, P34506, P34501	
433315112560301	USGS 77	P34010, P34668, P34506, P34501	
433356112574201	USGS 84	P34668, P34506	
433013113024201	USGS 87	P34010, P39180, P32106, P34668, P34475, P32102, P34506, P34030, P77128, P34546, P81551	
432940113030201	USGS 88	P34010, P39180, P32106, P34668, P34475, P32102, P34506, P34501, P32104, P77128, P34546	
433005113032801	USGS 89	P34010, P34668, P34475, P34506, P34506, P34496, P77128, P81551	
432919113031501	USGS 120	P34010, P39180, P32106, P34475, P32102, P34506, P32104	
