Site_id	Site_name	Parameter_id
433204112562001	CFA 1	pH, Spec. Cond., Temp
433144112563501	CFA 2	pH, Spec. Cond., Temp
433216112571001	CFA LF 3-9	pH, Spec. Cond., Temp
433216112563301	CFA LF 2-10	pH, Spec. Cond., Temp
433433112560201	CPP 1	pH, Spec. Cond., Temp
433432112560801	CPP 2	pH, Spec. Cond., Temp
433520112572601	MTR TEST	pH, Spec. Cond., Temp
433243112591101	RIFLE RANGE	pH, Spec. Cond., Temp
432956113030901	RWMC M1SA	pH, Spec. Cond., Temp
433008113021801	RWMC M3S	pH, Spec. Cond., Temp
433023113014801	RWMC M7S	pH, Spec. Cond., Temp
433058113010401	RWMC M11S	pH, Spec. Cond., Temp
433118112593401	RWMC M12S	pH, Spec. Cond., Temp
433037113002701	RWMC M13S	pH, Spec. Cond., Temp
433052113025001	RWMC M14S	pH, Spec. Cond., Temp
433002113021701	RWMC Production	pH, Spec. Cond., Temp
433506112572301	TRA Disposal	pH, Spec. Cond., Temp
433253112545901	USGS 20	pH, Spec. Cond., Temp
433334112565501	USGS 34	pH, Spec. Cond., Temp
433339112565801	USGS 35	pH, Spec. Cond., Temp
433330112565201	USGS 36	pH, Spec. Cond., Temp
433326112564801	USGS 37	pH, Spec. Cond., Temp
433322112564301	USGS 38	pH, Spec. Cond., Temp
433343112570001	USGS 39	pH, Spec. Cond., Temp
433411112561101	USGS 40	pH, Spec. Cond., Temp
433409112561301	USGS 41	pH, Spec. Cond., Temp
433404112561301	USGS 42	pH, Spec. Cond., Temp
433415112561501	USGS 43	pH, Spec. Cond., Temp
433409112562101	USGS 44	pH, Spec. Cond., Temp
433402112561801	USGS 45	pH, Spec. Cond., Temp
433407112561501	USGS 46	pH, Spec. Cond., Temp
433407112560301	USGS 47	pH, Spec. Cond., Temp
433401112560301	USGS 48	pH, Spec. Cond., Temp
433350112560601	USGS 51	pH, Spec. Cond., Temp
433414112554201	USGS 52	pH, Spec. Cond., Temp
433344112562601	USGS 57	pH, Spec. Cond., Temp
433500112572502	USGS 58	pH, Spec. Cond., Temp
433354112554701	USGS 59	pH, Spec. Cond., Temp
433447112574501	USGS 65	pH, Spec. Cond., Temp
433344112554101	USGS 67	pH, Spec. Cond., Temp
433425112573201	USGS 76	pH, Spec. Cond., Temp
433315112560301	USGS 77	pH, Spec. Cond., Temp
433505112581901	USGS 79	pH, Spec. Cond., Temp
433401112551001	USGS 82	pH, Spec. Cond., Temp
433356112574201	USGS 84	pH, Spec. Cond., Temp
433246112571201	USGS 85	pH, Spec. Cond., Temp
433013113024201	USGS 87	pH, Spec. Cond., Temp
432940113030201	USGS 88	pH, Spec. Cond., Temp
433005113032801	USGS 89	pH, Spec. Cond., Temp
432856112560801	USGS 104	pH, Spec. Cond., Temp
432703113001801	USGS 105	pH, Spec. Cond., Temp
432959112593101	USGS 106	pH, Spec. Cond., Temp
432659112582601	USGS 108	pH, Spec. Cond., Temp
433331112560501	USGS 111	pH, Spec. Cond., Temp
433314112563001	USGS 112	pH, Spec. Cond., Temp
433314112561801	USGS 113	pH, Spec. Cond., Temp
433318112555001	USGS 114	pH, Spec. Cond., Temp
433320112554101	USGS 115	pH, Spec. Cond., Temp
433331112553201	USGS 116	pH, Spec. Cond., Temp
432919113031501	USGS 120	pH, Spec. Cond., Temp
433352112561401	USGS 123	pH, Spec. Cond., Temp
432307112583101	USGS 124	pH, Spec. Cond., Temp
433058112572201	USGS 127	pH, Spec. Cond., Temp
433250112565601	USGS 128	pH, Spec. Cond., Temp
433459112572601	CWP 1	pH, Spec. Cond., Temp
433458112572401	CWP 2	pH, Spec. Cond., Temp
433455112572501	CWP 3	pH, Spec. Cond., Temp
433454112572601	CWP 4	pH, Spec. Cond., Temp
433455112572901	CWP 5	pH, Spec. Cond., Temp
433500112573001	CWP 8	pH, Spec. Cond., Temp
433349112560701	PW 1	pH, Spec. Cond., Temp
433344112555601	PW 2	pH, Spec. Cond., Temp
433351112555701	PW 3	pH, Spec. Cond., Temp
433348112554901	PW 4	pH, Spec. Cond., Temp
433348112555701	PW 5	pH, Spec. Cond., Temp
433353112562201	PW 6	pH, Spec. Cond., Temp
433446112574602	PW 7	pH, Spec. Cond., Temp
433456112572001	PW 8	pH, Spec. Cond., Temp
433500112575401	PW 9	pH, Spec. Cond., Temp
433502112572802	TRA A 13	pH, Spec. Cond., Temp
433507112573801	TRA A 77	pH, Spec. Cond., Temp
433419112560201	USGS 50	pH, Spec. Cond., Temp
433503112573401	USGS 53	pH, Spec. Cond., Temp
433503112572801	USGS 54	pH, Spec. Cond., Temp
433508112573001	USGS 55	pH, Spec. Cond., Temp
433509112573501	USGS 56	pH, Spec. Cond., Temp
433456112571901	USGS 60	pH, Spec. Cond., Temp
433453112571601	USGS 61	pH, Spec. Cond., Temp
433446112570701	USGS 62	pH, Spec. Cond., Temp
433455112574001	USGS 63	pH, Spec. Cond., Temp
433436112564801	USGS 66	pH, Spec. Cond., Temp
433516112573901	USGS 68	pH, Spec. Cond., Temp
433450112573001	USGS 69	pH, Spec. Cond., Temp
433504112571001	USGS 70	pH, Spec. Cond., Temp
433439112571501	USGS 71	pH, Spec. Cond., Temp
433519112574601	USGS 72	pH, Spec. Cond., Temp
433502112575401	USGS 73	pH, Spec. Cond., Temp
433413112573501	USGS 78	pH, Spec. Cond., Temp
433000113025301	USGS 92	pH, Spec. Cond., Temp
