Site_id	Site_name	Parameters
433204112562001	CFA 1	pH
433204112562001	CFA 1	Spec. Cond.
433204112562001	CFA 1	Temp
433144112563501	CFA 2	pH
433144112563501	CFA 2	Spec. Cond.
433144112563501	CFA 2	Temp
433216112571001	CFA LF 3-9	pH
433216112571001	CFA LF 3-9	Spec. Cond.
433216112571001	CFA LF 3-9	Temp
433216112563301	CFA LF 2-10	pH
433216112563301	CFA LF 2-10	Spec. Cond.
433216112563301	CFA LF 2-10	Temp
433433112560201	CPP 1	pH
433433112560201	CPP 1	Spec. Cond.
433433112560201	CPP 1	Temp
433432112560801	CPP 2	pH
433432112560801	CPP 2	Spec. Cond.
433432112560801	CPP 2	Temp
433520112572601	MTR TEST	pH
433520112572601	MTR TEST	Spec. Cond.
433520112572601	MTR TEST	Temp
433243112591101	RIFLE RANGE	pH
433243112591101	RIFLE RANGE	Spec. Cond.
433243112591101	RIFLE RANGE	Temp
432956113030901	RWMC M1SA	pH
432956113030901	RWMC M1SA	Spec. Cond.
432956113030901	RWMC M1SA	Temp
433008113021801	RWMC M3S	pH
433008113021801	RWMC M3S	Spec. Cond.
433008113021801	RWMC M3S	Temp
433023113014801	RWMC M7S	pH
433023113014801	RWMC M7S	Spec. Cond.
433023113014801	RWMC M7S	Temp
433058113010401	RWMC M11S	pH
433058113010401	RWMC M11S	Spec. Cond.
433058113010401	RWMC M11S	Temp
433118112593401	RWMC M12S	pH
433118112593401	RWMC M12S	Spec. Cond.
433118112593401	RWMC M12S	Temp
433037113002701	RWMC M13S	pH
433037113002701	RWMC M13S	Spec. Cond.
433037113002701	RWMC M13S	Temp
433052113025001	RWMC M14S	pH
433052113025001	RWMC M14S	Spec. Cond.
433052113025001	RWMC M14S	Temp
433002113021701	RWMC Production	pH
433002113021701	RWMC Production	Spec. Cond.
433002113021701	RWMC Production	Temp
433506112572301	TRA Disposal	pH
433506112572301	TRA Disposal	Spec. Cond.
433506112572301	TRA Disposal	Temp
433253112545901	USGS 20	pH
433253112545901	USGS 20	Spec. Cond.
433253112545901	USGS 20	Temp
433334112565501	USGS 34	pH
433334112565501	USGS 34	Spec. Cond.
433334112565501	USGS 34	Temp
433339112565801	USGS 35	pH
433339112565801	USGS 35	Spec. Cond.
433339112565801	USGS 35	Temp
433330112565201	USGS 36	pH
433330112565201	USGS 36	Spec. Cond.
433330112565201	USGS 36	Temp
433326112564801	USGS 37	pH
433326112564801	USGS 37	Spec. Cond.
433326112564801	USGS 37	Temp
433322112564301	USGS 38	pH
433322112564301	USGS 38	Spec. Cond.
433322112564301	USGS 38	Temp
433343112570001	USGS 39	pH
433343112570001	USGS 39	Spec. Cond.
433343112570001	USGS 39	Temp
433411112561101	USGS 40	pH
433411112561101	USGS 40	Spec. Cond.
433411112561101	USGS 40	Temp
433409112561301	USGS 41	pH
433409112561301	USGS 41	Spec. Cond.
433409112561301	USGS 41	Temp
433404112561301	USGS 42	pH
433404112561301	USGS 42	Spec. Cond.
433404112561301	USGS 42	Temp
433415112561501	USGS 43	pH
433415112561501	USGS 43	Spec. Cond.
433415112561501	USGS 43	Temp
433409112562101	USGS 44	pH
433409112562101	USGS 44	Spec. Cond.
433409112562101	USGS 44	Temp
433402112561801	USGS 45	pH
433402112561801	USGS 45	Spec. Cond.
433402112561801	USGS 45	Temp
433407112561501	USGS 46	pH
433407112561501	USGS 46	Spec. Cond.
433407112561501	USGS 46	Temp
433407112560301	USGS 47	pH
433407112560301	USGS 47	Spec. Cond.
433407112560301	USGS 47	Temp
433401112560301	USGS 48	pH
433401112560301	USGS 48	Spec. Cond.
433401112560301	USGS 48	Temp
433350112560601	USGS 51	pH
433350112560601	USGS 51	Spec. Cond.
433350112560601	USGS 51	Temp
433414112554201	USGS 52	pH
433414112554201	USGS 52	Spec. Cond.
433414112554201	USGS 52	Temp
433344112562601	USGS 57	pH
433344112562601	USGS 57	Spec. Cond.
433344112562601	USGS 57	Temp
433500112572502	USGS 58	pH
433500112572502	USGS 58	Spec. Cond.
433500112572502	USGS 58	Temp
433354112554701	USGS 59	pH
433354112554701	USGS 59	Spec. Cond.
433354112554701	USGS 59	Temp
433447112574501	USGS 65	pH
433447112574501	USGS 65	Spec. Cond.
433447112574501	USGS 65	Temp
433344112554101	USGS 67	pH
433344112554101	USGS 67	Spec. Cond.
433344112554101	USGS 67	Temp
433425112573201	USGS 76	pH
433425112573201	USGS 76	Spec. Cond.
433425112573201	USGS 76	Temp
433315112560301	USGS 77	pH
433315112560301	USGS 77	Spec. Cond.
433315112560301	USGS 77	Temp
433505112581901	USGS 79	pH
433505112581901	USGS 79	Spec. Cond.
433505112581901	USGS 79	Temp
433401112551001	USGS 82	pH
433401112551001	USGS 82	Spec. Cond.
433401112551001	USGS 82	Temp
433356112574201	USGS 84	pH
433356112574201	USGS 84	Spec. Cond.
433356112574201	USGS 84	Temp
433246112571201	USGS 85	pH
433246112571201	USGS 85	Spec. Cond.
433246112571201	USGS 85	Temp
433013113024201	USGS 87	pH
433013113024201	USGS 87	Spec. Cond.
433013113024201	USGS 87	Temp
432940113030201	USGS 88	pH
432940113030201	USGS 88	Spec. Cond.
432940113030201	USGS 88	Temp
433005113032801	USGS 89	pH
433005113032801	USGS 89	Spec. Cond.
433005113032801	USGS 89	Temp
432856112560801	USGS 104	pH
432856112560801	USGS 104	Spec. Cond.
432856112560801	USGS 104	Temp
432703113001801	USGS 105	pH
432703113001801	USGS 105	Spec. Cond.
432703113001801	USGS 105	Temp
432959112593101	USGS 106	pH
432959112593101	USGS 106	Spec. Cond.
432959112593101	USGS 106	Temp
432659112582601	USGS 108	pH
432659112582601	USGS 108	Spec. Cond.
432659112582601	USGS 108	Temp
433331112560501	USGS 111	pH
433331112560501	USGS 111	Spec. Cond.
433331112560501	USGS 111	Temp
433314112563001	USGS 112	pH
433314112563001	USGS 112	Spec. Cond.
433314112563001	USGS 112	Temp
433314112561801	USGS 113	pH
433314112561801	USGS 113	Spec. Cond.
433314112561801	USGS 113	Temp
433318112555001	USGS 114	pH
433318112555001	USGS 114	Spec. Cond.
433318112555001	USGS 114	Temp
433320112554101	USGS 115	pH
433320112554101	USGS 115	Spec. Cond.
433320112554101	USGS 115	Temp
433331112553201	USGS 116	pH
433331112553201	USGS 116	Spec. Cond.
433331112553201	USGS 116	Temp
432919113031501	USGS 120	pH
432919113031501	USGS 120	Spec. Cond.
432919113031501	USGS 120	Temp
433352112561401	USGS 123	pH
433352112561401	USGS 123	Spec. Cond.
433352112561401	USGS 123	Temp
432307112583101	USGS 124	pH
432307112583101	USGS 124	Spec. Cond.
432307112583101	USGS 124	Temp
433058112572201	USGS 127	pH
433058112572201	USGS 127	Spec. Cond.
433058112572201	USGS 127	Temp
433250112565601	USGS 128	pH
433250112565601	USGS 128	Spec. Cond.
433250112565601	USGS 128	Temp
433459112572601	CWP 1	pH
433459112572601	CWP 1	Spec. Cond.
433459112572601	CWP 1	Temp
433458112572401	CWP 2	pH
433458112572401	CWP 2	Spec. Cond.
433458112572401	CWP 2	Temp
433455112572501	CWP 3	pH
433455112572501	CWP 3	Spec. Cond.
433455112572501	CWP 3	Temp
433454112572601	CWP 4	pH
433454112572601	CWP 4	Spec. Cond.
433454112572601	CWP 4	Temp
433455112572901	CWP 5	pH
433455112572901	CWP 5	Spec. Cond.
433455112572901	CWP 5	Temp
433500112573001	CWP 8	pH
433500112573001	CWP 8	Spec. Cond.
433500112573001	CWP 8	Temp
433349112560701	PW 1	pH
433349112560701	PW 1	Spec. Cond.
433349112560701	PW 1	Temp
433344112555601	PW 2	pH
433344112555601	PW 2	Spec. Cond.
433344112555601	PW 2	Temp
433351112555701	PW 3	pH
433351112555701	PW 3	Spec. Cond.
433351112555701	PW 3	Temp
433348112554901	PW 4	pH
433348112554901	PW 4	Spec. Cond.
433348112554901	PW 4	Temp
433348112555701	PW 5	pH
433348112555701	PW 5	Spec. Cond.
433348112555701	PW 5	Temp
433353112562201	PW 6	pH
433353112562201	PW 6	Spec. Cond.
433353112562201	PW 6	Temp
433446112574602	PW 7	pH
433446112574602	PW 7	Spec. Cond.
433446112574602	PW 7	Temp
433456112572001	PW 8	pH
433456112572001	PW 8	Spec. Cond.
433456112572001	PW 8	Temp
433500112575401	PW 9	pH
433500112575401	PW 9	Spec. Cond.
433500112575401	PW 9	Temp
433502112572802	TRA A 13	pH
433502112572802	TRA A 13	Spec. Cond.
433502112572802	TRA A 13	Temp
433507112573801	TRA A 77	pH
433507112573801	TRA A 77	Spec. Cond.
433507112573801	TRA A 77	Temp
433419112560201	USGS 50	pH
433419112560201	USGS 50	Spec. Cond.
433419112560201	USGS 50	Temp
433503112573401	USGS 53	pH
433503112573401	USGS 53	Spec. Cond.
433503112573401	USGS 53	Temp
433503112572801	USGS 54	pH
433503112572801	USGS 54	Spec. Cond.
433503112572801	USGS 54	Temp
433508112573001	USGS 55	pH
433508112573001	USGS 55	Spec. Cond.
433508112573001	USGS 55	Temp
433509112573501	USGS 56	pH
433509112573501	USGS 56	Spec. Cond.
433509112573501	USGS 56	Temp
433456112571901	USGS 60	pH
433456112571901	USGS 60	Spec. Cond.
433456112571901	USGS 60	Temp
433453112571601	USGS 61	pH
433453112571601	USGS 61	Spec. Cond.
433453112571601	USGS 61	Temp
433446112570701	USGS 62	pH
433446112570701	USGS 62	Spec. Cond.
433446112570701	USGS 62	Temp
433455112574001	USGS 63	pH
433455112574001	USGS 63	Spec. Cond.
433455112574001	USGS 63	Temp
433436112564801	USGS 66	pH
433436112564801	USGS 66	Spec. Cond.
433436112564801	USGS 66	Temp
433516112573901	USGS 68	pH
433516112573901	USGS 68	Spec. Cond.
433516112573901	USGS 68	Temp
433450112573001	USGS 69	pH
433450112573001	USGS 69	Spec. Cond.
433450112573001	USGS 69	Temp
433504112571001	USGS 70	pH
433504112571001	USGS 70	Spec. Cond.
433504112571001	USGS 70	Temp
433439112571501	USGS 71	pH
433439112571501	USGS 71	Spec. Cond.
433439112571501	USGS 71	Temp
433519112574601	USGS 72	pH
433519112574601	USGS 72	Spec. Cond.
433519112574601	USGS 72	Temp
433502112575401	USGS 73	pH
433502112575401	USGS 73	Spec. Cond.
433502112575401	USGS 73	Temp
433413112573501	USGS 78	pH
433413112573501	USGS 78	Spec. Cond.
433413112573501	USGS 78	Temp
433000113025301	USGS 92	pH
433000113025301	USGS 92	Spec. Cond.
433000113025301	USGS 92	Temp
