Site_id	Site_name	Parameters	Axis_title
433204112562001	CFA 1	CL, Na, SO4	Concentration, in milligrams per liter
433204112562001	CFA 1	NO3+NO2	
433144112563501	CFA 2	CL, Na, SO4	Concentration, in milligrams per liter
433144112563501	CFA 2	NO3+NO2	
433216112571001	CFA LF 3-9	CL	
433216112571001	CFA LF 3-9	NO3+NO2	
433216112563301	CFA LF 2-10	CL, Na	Concentration, in milligrams per liter
433216112563301	CFA LF 2-10	NO3+NO2, O-PO4 as P	Concentration, in milligrams per liter
433216112563301	CFA LF 2-10	CR	
433433112560201	CPP 1	CL, Na, SO4	Concentration, in milligrams per liter
433433112560201	CPP 1	NO3+NO2	
433433112560201	CPP 1	F	
433432112560801	CPP 2	CL, Na, SO4	Concentration, in milligrams per liter
433432112560801	CPP 2	NO3+NO2, O-PO4 as P	Concentration, in milligrams per liter
433520112572601	MTR TEST	CL, Na, SO4	Concentration, in milligrams per liter
433520112572601	MTR TEST	NO3+NO2	
433243112591101	RIFLE RANGE	CL, Na, SO4	Concentration, in milligrams per liter
433243112591101	RIFLE RANGE	CR	
433008113021801	RWMC M3S	CL	
433008113021801	RWMC M3S	NO3+NO2, O-PO4 as P	Concentration, in milligrams per liter
433023113014801	RWMC M7S	CL	
433023113014801	RWMC M7S	NO3+NO2, O-PO4 as P	Concentration, in milligrams per liter
433058113010401	RWMC M11S	CL, Na	Concentration, in milligrams per liter
433058113010401	RWMC M11S	NO3+NO2	
433118112593401	RWMC M12S	CL, Na	Concentration, in milligrams per liter
433118112593401	RWMC M12S	NO3+NO2, O-PO4 as P	Concentration, in milligrams per liter
433118112593401	RWMC M12S	CR	
433037113002701	RWMC M13S	CL, Na	Concentration, in milligrams per liter
433037113002701	RWMC M13S	NO3+NO2, O-PO4 as P	Concentration, in milligrams per liter
433037113002701	RWMC M13S	CR	
433052113025001	RWMC M14S	CL, Na	Concentration, in milligrams per liter
433052113025001	RWMC M14S	NO3+NO2, O-PO4 as P	Concentration, in milligrams per liter
433052113025001	RWMC M14S	CR	
433002113021701	RWMC Production	CL, Na, SO4	Concentration, in milligrams per liter
433002113021701	RWMC Production	NO3+NO2	
433506112572301	TRA Disposal	CL, Na, SO4	Concentration, in milligrams per liter
433506112572301	TRA Disposal	NO3+NO2, O-PO4 as P	Concentration, in milligrams per liter
433506112572301	TRA Disposal	CR	
433253112545901	USGS 20	CL, Na, SO4	Concentration, in milligrams per liter
433253112545901	USGS 20	NO3+NO2	
433334112565501	USGS 34	CL, Na, SO4	Concentration, in milligrams per liter
433334112565501	USGS 34	NO3+NO2	
433334112565501	USGS 34	F	
433339112565801	USGS 35	CL, Na, SO4	Concentration, in milligrams per liter
433339112565801	USGS 35	NO3+NO2, O-PO4 as P	Concentration, in milligrams per liter
433330112565201	USGS 36	CL, Na, SO4	Concentration, in milligrams per liter
433330112565201	USGS 36	NO3+NO2	
433326112564801	USGS 37	CL, Na, SO4	Concentration, in milligrams per liter
433326112564801	USGS 37	NO3+NO2	
433322112564301	USGS 38	CL, Na, SO4	Concentration, in milligrams per liter
433322112564301	USGS 38	F	
433343112570001	USGS 39	CL, Na, SO4	Concentration, in milligrams per liter
433343112570001	USGS 39	NO3+NO2	
433411112561101	USGS 40	CL, Na, SO4	Concentration, in milligrams per liter
433411112561101	USGS 40	NO3+NO2	
433409112561301	USGS 41	CL, Na, SO4	Concentration, in milligrams per liter
433409112561301	USGS 41	NO3+NO2, O-PO4 as P	Concentration, in milligrams per liter
433404112561301	USGS 42	CL, Na, SO4	Concentration, in milligrams per liter
433404112561301	USGS 42	NO3+NO2, O-PO4 as P	Concentration, in milligrams per liter
433415112561501	USGS 43	CL, Na, SO4	Concentration, in milligrams per liter
433415112561501	USGS 43	NO3+NO2	
433409112562101	USGS 44	CL, Na, SO4	Concentration, in milligrams per liter
433409112562101	USGS 44	NO3+NO2	
433402112561801	USGS 45	CL, Na, SO4	Concentration, in milligrams per liter
433402112561801	USGS 45	NO3+NO2	
433407112561501	USGS 46	CL, Na, SO4	Concentration, in milligrams per liter
433407112561501	USGS 46	NO3+NO2	
433407112560301	USGS 47	CL, Na, SO4	Concentration, in milligrams per liter
433407112560301	USGS 47	NO3+NO2	
433401112560301	USGS 48	CL, Na, SO4	Concentration, in milligrams per liter
433401112560301	USGS 48	NO3+NO2	
433350112560601	USGS 51	CL, Na, SO4	Concentration, in milligrams per liter
