Site_id	Site_name	Dates	Times	An_agency	CL	Na	SO4	CR	NO3+NO2	O-PO4 as P	NH3	TOC	NI	MO	PB	CU	CO	CD	BE	AS	F	HG	AL	SB	AG	BA	MN	ZN	SE	U	Spec. Cond.	Temp	pH
433204112562001	CFA 1	4/17/1970	1502	80020	67																												
433204112562001	CFA 1	4/14/1971	1000	80020	65																												
433204112562001	CFA 1	4/14/1972	1502	80020	68																												
433204112562001	CFA 1	9/6/1977	905	80020	72	20	29	10													0.2		10				0					12.3	
433204112562001	CFA 1	12/14/1981	1408	80020			33		3.1	0.01																							
433204112562001	CFA 1	10/12/1984	1045	80020	53	14	24		2.6	0.01					6						0.2	<.1	<10				<1					12.2	
433204112562001	CFA 1	9/9/1985	1325	80020				19							1			<1		1		<.1			<1	<100			2		580	13	7.9
433204112562001	CFA 1	10/15/1987	1814	80020				20							<5			<1	<.5	1		0.1			<1	83			1		633	12.4	7.69
433204112562001	CFA 1	10/28/1988	1400	80020					4.6	<.01																					630	12.7	7.87
433204112562001	CFA 1	10/26/1989	1300	80020	93	26			4.5	0.03	0.01																				640	12	7.98
433204112562001	CFA 1	1/2/1990	905	80020	92	27																									650	12	7.66
433204112562001	CFA 1	4/5/1990	908	80020	90	18																									640	12.5	7.96
433204112562001	CFA 1	7/11/1990	1015	80020	110	27																									670	12.5	7.9
433204112562001	CFA 1	10/15/1990	950	80020	86	17	33		2.7	0.03	<.01										<.1										580	13	7.97
433204112562001	CFA 1	1/10/1991	1000	80020	87	17	37	10													0.1										590	9.5	7.91
433204112562001	CFA 1	4/18/1991	950	80020	94	29																									660	11.5	7.85
433204112562001	CFA 1	6/19/1991	925	80020	100	30	33	19	4.3	0.01	<.01		<10	<10	<1	<10	<3	<1	<.5	<1	0.2	<.1	<10		<1	92	<1	5	<1		680	12	7.79
433204112562001	CFA 1	7/25/1991	935	80020	78	21		10																							579	12.5	7.83
433204112562001	CFA 1	10/10/1991	954	80020	100	26			4.1	0.021	<.01																				630	12	7.8
433204112562001	CFA 1	1/8/1992	1028	80020	110	30		18																									
433204112562001	CFA 1	1/14/1992	1015	80020	17	14		22																							670	12	7.79
433204112562001	CFA 1	4/9/1992	1027	80020	110	30																									655	12	7.87
433204112562001	CFA 1	7/9/1992	1012	80020	81	22		13																							580	12.5	7.87
433204112562001	CFA 1	10/8/1992	1045	80020	100	26			4.1	0.01	<.01																				620	12	7.83
433204112562001	CFA 1	1/8/1993	1028	80020	110	30		18																							670	12	7.8
433204112562001	CFA 1	4/8/1993	947	80020	110	29																									664	12.5	7.82
433204112562001	CFA 1	7/15/1993	900	80020	100	30		16																							675	12	7.8
433204112562001	CFA 1	1/10/1994	952	80020	100	28		20																							691	11.5	7.61
433204112562001	CFA 1	4/7/1994	950	80020	100	29																									695	11.7	7.67
433204112562001	CFA 1	7/5/1994	1354	80020	87	26		14																							632	12	7.66
433204112562001	CFA 1	1/5/1995	914	80020	68	18		12																							560	12	7.72
433204112562001	CFA 1	4/13/1995	946	80020	110	29	34																								690	11.8	7.85
433204112562001	CFA 1	7/10/1995	904	80020	110	29		14																							685	11.9	7.81
433204112562001	CFA 1	10/11/1995	900	80020	100	30	35		4.1	0.02	<.015																				685	11.8	7.84
433204112562001	CFA 1	1/16/1996	1048	80020	71	19	27	12																							586	11.9	7.82
433204112562001	CFA 1	4/3/1996	950	80020	84	22	30																								596	11.9	7.83
433204112562001	CFA 1	7/16/1996	950	80020	71	15	28	13																							567	12.3	7.91
433204112562001	CFA 1	10/16/1996	916	80020	70	18	28		3.6	0.02	<.015																				579	12.1	7.89
433204112562001	CFA 1	1/27/1997	1035	80020	89	24	31	18																							637	11.9	7.84
433204112562001	CFA 1	4/21/1997	915	80020	108.99	29.029	35.325																								703	11.5	7.84
433204112562001	CFA 1	7/22/1997	906	80020	105.3	30.28	32.48	18.507																							702	11.7	7.82
433204112562001	CFA 1	10/21/1997	845	80020	99.543	23.748	30.919		3.679	0.013	<.015																				675	12	7.62
433204112562001	CFA 1	1/15/1998	1030	80020	75.457	17.684	28.494	<14																							596	11.9	7.8
433204112562001	CFA 1	4/23/1998	928	80020	108.39	28.224	32.334																								703	12	7.75
433204112562001	CFA 1	10/19/1998	940	80020	108.5	26.961	32.588		3.889	<.01	<.02																				692	11.6	7.9
433204112562001	CFA 1	1/14/1999	1040	80020	111.68	29.232	32.327	17.649																							706	11.7	7.87
433204112562001	CFA 1	4/13/1999	905	80020	101.14	25.993	30.864																								682	11.8	7.86
433204112562001	CFA 1	7/8/1999	830	80020	81.33	18.084	26.06	E10.514																							599	12.2	7.75
433204112562001	CFA 1	10/20/1999	952	80020	84.97	21.742	28.95		3.3	0.012	<.02																				612	11.8	7.89
433204112562001	CFA 1	1/19/2000	1010	80020	107.29	26.876	29.62	16.84																							697	11.7	7.78
433204112562001	CFA 1	4/18/2000	930	80020	119.36	30.915	32.11															<.23									688	11.8	7.97
433204112562001	CFA 1	7/13/2000	1038	80020	95.58	23.347	29.67	E8.6558																							665	12.2	7.79
433204112562001	CFA 1	10/11/2000	1224	80020	89.25	20.108	29.32		3.112	0.018	<.041																				635	12.1	7.81
433204112562001	CFA 1	1/25/2001	1010	80020	118.05	34.268	31.78	18.485																							733	11.8	7.86
433204112562001	CFA 1	4/18/2001	1005	80020	117.54	31.007	31.56																								702	11.8	7.71
433204112562001	CFA 1	7/23/2001	905	80020	120.47	33.91697	30.81	15.07557																							729	11.8	7.79
433204112562001	CFA 1	10/9/2001	933	80020	103.1072	24.87901	31.40948		3.13	E.012	<.04																				685	11.9	7.9
433204112562001	CFA 1	4/10/2002	915	80020	98.91	22.81445	30.35																								670	11.8	7.7
433204112562001	CFA 1	10/16/2002	1000	80020	96.37	22.97147	29.45		3.124	E.015	<.04																				647	12.2	7.68
433204112562001	CFA 1	4/16/2003	923	80020	94.64	23.05039	29.16																								658	11.8	7.7
433204112562001	CFA 1	10/15/2003	1023	80020	86.14	19.5408	27.98		3.001	E.013	<.04																				620	12	7.74
433204112562001	CFA 1	4/6/2004	1252	80020	117.68	34.3	30.88		3.428	E.013	<.04																				724	12	7.84
433204112562001	CFA 1	4/18/2005	1125	80020	114.254	35.3	31.625		3.441	<.018	<.04																				711	11.8	7.55
433204112562001	CFA 1	4/5/2006	1118	80020	114.288	31.99	31.381		3.353	E.011	<.04																				700	11.8	7.73
433204112562001	CFA 1	4/19/2007	909	80020	86.501	21.13	27.716		2.802	0.0193	<.02																				623	12.1	7.68
433204112562001	CFA 1	4/24/2008	1036	80020	88.044	20.79	28.667		2.789	0.01616	<.02																				609	12.1	7.7
433204112562001	CFA 1	4/21/2009	1232	80020	100.762	30.6	30.866		3.19	0.02131	<.02																				673	12	7.56
433204112562001	CFA 1	4/5/2010	1124	80020	89.179	22.91	29.348		2.728	0.02085	<.02																				618	12.9	7.58
433204112562001	CFA 1	4/20/2011	1221	80020	81.667	22.48	28.732		2.57	0.02684	<.010																				586	12.2	7.72
433204112562001	CFA 1	4/18/2012	1011	80020	80.338	25.83	29.465		2.59622	0.01931	<.010																				578	12	7.64
433144112563501	CFA 2	9/6/1977	850	80020	81	15	32	0													0.2		10				0					12.5	
433144112563501	CFA 2	12/14/1981	1420	80020			35		1.8	0.02																							
433144112563501	CFA 2	10/12/1984	1030	80020	89	18	35		2.8	0.01					6						0.2	<.1	<10				<1					12.4	
433144112563501	CFA 2	9/9/1985	1332	80020				12							3			2		1		<.1			<1	<100			4		615		7.8
433144112563501	CFA 2	10/14/1987	1844	80020				10							<5			<1	<.5	1		<.1			<1	67			3		671	12.6	7.76
433144112563501	CFA 2	10/28/1988	1325	80020					2.7	<.01																					600	12.7	7.88
433144112563501	CFA 2	10/26/1989	1135	80020	81	16			2.7	0.021	0.01																				590	12.3	7.9
433144112563501	CFA 2	1/26/1990	1028	80020	85	17																									610	12.4	7.82
433144112563501	CFA 2	4/19/1990	1010	80020	95	18																									580	11.5	7.85
433144112563501	CFA 2	7/11/1990	1048	80020	98	18																									622	12.5	7.92
433144112563501	CFA 2	10/15/1990	1025	80020	85	31	33		2.7	0.021	<.01										<.1										590	11	7.84
433144112563501	CFA 2	1/10/1991	930	80020	86	18	37	10													0.1										590	10.5	8.07
433144112563501	CFA 2	4/18/1991	918	80020	87	18																									602	12	7.84
433144112563501	CFA 2	7/25/1991	905	80020	91	18		10																							601	12.5	7.82
433144112563501	CFA 2	10/10/1991	926	80020	70	20			3.3	0.02	<.01																				629	12	7.79
433144112563501	CFA 2	1/14/1992	945	80020	87	18		10																							600	12	7.75
433144112563501	CFA 2	4/9/1992	1005	80020	87	19																									598	12	7.87
433144112563501	CFA 2	7/9/1992	945	80020	85	18		10																							587	12	7.87
433144112563501	CFA 2	10/8/1992	1146	80020	100	20			3.3	0.01	0.01																				630	12	7.84
433144112563501	CFA 2	1/8/1993	1000	80020	97	20		21																							620	12.5	7.78
433144112563501	CFA 2	4/8/1993	915	80020	90	19																									603	12.5	7.83
433144112563501	CFA 2	7/15/1993	945	80020	83	18		10																							605	12.5	7.84
433144112563501	CFA 2	10/7/1993	917	80020	86	18			3.1	<.01	0.02																				602	12	7.64
433144112563501	CFA 2	1/10/1994	915	80020	83	18		11																							618	12	7.56
433144112563501	CFA 2	4/7/1994	905	80020	87	18																									629	11.9	7.65
433144112563501	CFA 2	7/5/1994	1322	80020	90	19		12																							634	12.5	7.61
433144112563501	CFA 2	10/6/1994	1258	80020	91	19			2.9	<.01	0.01																				630	11.9	7.82
433144112563501	CFA 2	4/13/1995	900	80020	96	20	39																								659	12	7.95
433144112563501	CFA 2	7/10/1995	956	80020	88	19		12																							633	11.8	7.83
433144112563501	CFA 2	10/11/1995	956	80020	95	21	39		3	0.01	<.015																				652	12.2	7.85
433144112563501	CFA 2	1/16/1996	1001	80020	120	26	43	11																							741	12	7.81
433144112563501	CFA 2	4/3/1996	910	80020	120	26	45																								715	12	7.78
433144112563501	CFA 2	7/16/1996	855	80020	120	23	46	14																							745	12.1	7.88
433144112563501	CFA 2	1/27/1997	1120	80020	120	26	51	13																							784	11.8	7.89
433144112563501	CFA 2	4/21/1997	1200	80020	125.5	24.989	48.039																								755	12.1	7.91
433144112563501	CFA 2	7/22/1997	952	80020	95.168	21.257	38.651	10.694																							672	11.8	7.83
433144112563501	CFA 2	1/28/1998	1010	80020	121.3	26.79	47.492	<14																							764	12	7.85
433144112563501	CFA 2	4/23/1998	838	80020	115.21	25.699	45.258																								756	11.9	7.79
433144112563501	CFA 2	7/8/1998	905	80020	95.411	21.213	39.989	<14																							680	12.1	7.85
433144112563501	CFA 2	10/19/1998	900	80020	115.23	24.131	44.354		3.706	<.01	<.02																				744	11.6	7.87
433144112563501	CFA 2	1/14/1999	1010	80020	104.9	22.961	40.673	E8.326																							701	11.6	7.86
433144112563501	CFA 2	4/13/1999	1010	80020	119.06	27.107	45.94																								771	11.7	7.85
433144112563501	CFA 2	10/20/1999	905	80020	123.88	29.155	48.96		4.003	0.011	<.02																				752	11.6	7.85
433144112563501	CFA 2	1/19/2000	920	80020	124.6	28.791	47.29	E13.41																							777	11.7	7.76
433144112563501	CFA 2	4/18/2000	855	80020	120.65	26.668	47.5																								717	11.8	7.91
433144112563501	CFA 2	7/13/2000	1014	80020	125.27	29.134	48.96	E9.3562																							795	12	7.72
433144112563501	CFA 2	1/25/2001	930	80020	119.38	29.517	46.89	13.607																							776	12.1	7.75
433144112563501	CFA 2	4/18/2001	930	80020	122.1	28.153	46.58																								760	12.1	7.67
433144112563501	CFA 2	7/23/2001	832	80020	103.84	25.74106	39.41	14.61532																							702	11.9	7.77
433144112563501	CFA 2	10/9/2001	900	80020	119.5809	27.19399	47.19346		3.632	E.010	<.04																				755	11.8	7.9
433144112563501	CFA 2	4/10/2002	1010	80020	124.08	29.26501	47.54																								792	11.7	7.61
433144112563501	CFA 2	4/16/2003	1020	80020	119.17	28.67418	45.9																								776	12.2	7.75
433144112563501	CFA 2	10/15/2003	1054	80020	125.92	30.1463	46.74		3.735	E.011	<.04																				799	11.8	7.69
433144112563501	CFA 2	10/5/2004	845	80020	103.976	24.49	41.626		3.219	E.009	<.04																				679	11.8	7.37
433144112563501	CFA 2	10/12/2006	1350	80020	122.927	29.2	47.903		3.729	0.01941	<.02																				784	12.2	7.64
433144112563501	CFA 2	10/23/2007	1026	80020	130.894	33.23	48.311		3.725	0.01763	<.02																				814	12.4	7.49
433144112563501	CFA 2	10/9/2008	1128	80020	134.158	36.64	50.702		3.9287	0.01977	E.0117																				810	12.1	7.52
433144112563501	CFA 2	10/27/2009	1021	80020	136.48	35.92	50.937		3.926	0.02149	<.02																				848	11.7	7.35
433144112563501	CFA 2	4/20/2011	1308	80020	145.066	37.3	52.694		3.883	0.02611	<.010																				843	12.4	7.54
433144112563501	CFA 2	10/17/2011	850	80020	140.403	36.03	50.081		4.09541	0.01739	<.010																				864	12.4	7.56
433144112563501	CFA 2	10/16/2012	1000	80020	142.162	39.41	51.815		3.9766	0.01699	<.010																				860	12.3	7.43
433216112563301	CFA LF 2-10	10/20/1993	1325	80020	34				2	0.02	0.02																				494	13.5	7.85
433216112563301	CFA LF 2-10	11/10/1994	1450	80020	32	10		11	1.7	0.02	0.01	0.2																			496	12.5	8.03
433216112563301	CFA LF 2-10	1/23/1995	1630	80020	29	12		13	1.4	0.02	<.015																				488	12.5	7.97
433216112563301	CFA LF 2-10	4/27/1995	1626	80020	34	12		14	1.8	0.02	0.02																				497	12.6	8.04
433216112563301	CFA LF 2-10	5/11/1995	1340	80020																											499	12.4	8
433216112563301	CFA LF 2-10	7/17/1995	1540	80020	32	13		13	1.7	0.02	0.02																				497	12.5	8.01
433216112563301	CFA LF 2-10	10/25/1995	1110	80020	30	13		14	1.9	0.03	0.02	1.3																			500	12.4	7.98
433216112563301	CFA LF 2-10	4/25/1996	1125	80020	24	12		15	1.3	0.02	0.03																				486	12.5	7.77
433216112563301	CFA LF 2-10	10/31/1996	1508	80020	26	11		12	1.4	0.02	<.015	1.3																			487	12.6	8.06
433216112563301	CFA LF 2-10	5/5/1997	1630	80020	34.07	11.911		12.93	1.744	0.017	<.015																				504	12.6	8.02
433216112563301	CFA LF 2-10	10/28/1997	1035	80020	33.311	11.58		11.981	1.944	0.017	<.015	0.3																			504	12.3	7.51
433216112563301	CFA LF 2-10	4/14/1998	1420	80020					1.779	0.024	<.02																				504	12.5	8.03
433216112563301	CFA LF 2-10	10/21/1998	1420	80020	32.919	12.009		E10.494	1.762	0.014	<.02	0.6																			503	12.3	7.96
433216112563301	CFA LF 2-10	4/22/1999	955	80020	23.994	10.793		E7.912	1.259	0.023	0.028																				452	12.6	8.06
433216112563301	CFA LF 2-10	10/26/1999	1025	80020	34.66	12.079		14.408	1.816	0.016	<.02	E.244																			498	12.5	7.97
433216112563301	CFA LF 2-10	10/18/2000	1259	80020	23.43	11.911		18.296	1.221	0.018	<.041	E.468																			468	13	7.99
433216112563301	CFA LF 2-10	4/30/2001	1055	80020	23.28	11.847		12.684	1.187	E.015	<.041																				467	12.6	8
433216112563301	CFA LF 2-10	10/9/2001	1040	80020	29.67071	12.00781	29.31917		1.436	E.015	<.04	1.954																			469	12.7	8.1
433216112563301	CFA LF 2-10	4/2/2002	1515	80020	30.06	11.36073		11.63156	1.553	0.02	<.04																				490	12.5	7.97
433216112563301	CFA LF 2-10	10/9/2002	1025	80020	31.9	11.54534		E8.15526	1.603	0.02	<.04	0.404																			474	12.6	8.03
433216112563301	CFA LF 2-10	4/16/2003	1212	80020	34.19	12.70192		11.59332	1.555	E.014	<.04																				492	12.7	7.98
433216112563301	CFA LF 2-10	9/29/2003	1537	80020	22.19	11.6124		14.4051	1.185	E.015	<.041	<.40																			462	12.9	7.93
433216112563301	CFA LF 2-10	4/20/2004	1428	80020	35.76	13.1		12.1	1.587	0.019	<.04	0.76																			499	12.8	8.05
433216112563301	CFA LF 2-10	4/12/2005	1514	80020	32.132	12.98		12.12	1.48	E.014	<.04	0.515																			483	12.8	7.65
433216112563301	CFA LF 2-10	4/18/2006	1308	80020	33.902	13.3		10.53	1.564	0.018	<.04	0.637																			488	12.6	7.5
