Parameter_id	Parameter_name	Units	sd
pH	pH		
Spec. Cond.	Specific Conductance	microsiemens per cm	
Temp	Temperature	degree celsius	
TOC	Total Organic Carbon	milligrams per liter	
NO3+NO2	Nitrate plus Nitrite as N	milligrams per liter	
O-PO4 as P	Orthophosphate as P	milligrams per liter	
ZN	Zinc	micrograms per liter	
U	Uranium	micrograms per liter	
SE	Selenium	micrograms per liter	
NI	Nickel	micrograms per liter	
MO	Molybdenum	micrograms per liter	
MN	Manganese	micrograms per liter	
PB	Lead	micrograms per liter	
CU	Copper	micrograms per liter	
CO	Cobalt	micrograms per liter	
BA	Barium	micrograms per liter	
AS	Arsenic	micrograms per liter	
CR	Chromium	micrograms per liter	
CL	Chloride	milligrams per liter	
SO4	Sulfate	milligrams per liter	
F	Fluoride	milligrams per liter	
BR	Bromide	milligrams per liter	
Na	Sodium	milligrams per liter	
CA	Calcium	milligrams per liter	
MG	Magnesium	micrograms per liter	
K	Potassium	micrograms per liter	
SI	Silica	micrograms per liter	
NH3	Ammonia	milligrams per liter	
SB	Antimony	micrograms per liter	
AG	Silver	micrograms per liter	
HG	Mercury	micrograms per liter	
CD	Cadmium	micrograms per liter	
TL	Thallium	micrograms per liter	
AL	Aluminum	micrograms per liter	
P34010	Toluene	micrograms per liter	
P39180	Trichloroethene	micrograms per liter	
P32106	Trichloromethane	micrograms per liter	
P34668	Dichlorodifluoromethane	micrograms per liter	
P34475	Tetrachloroethene	micrograms per liter	
P32102	Carbon Tetrachloride	micrograms per liter	
P34506	1,1,1-Trichloroethane	micrograms per liter	
P34496	1,1-Dichloroethane	micrograms per liter	
P34501	1,1-Dichloroethene	micrograms per liter	
P34030	Benzene	micrograms per liter	
P32101	Bromodichloromethane	micrograms per liter	
P32105	Dibromochloromethane	micrograms per liter	
P30217	Dibromomethane	micrograms per liter	
P32104	Tribromomethane	micrograms per liter	
P34423	Dichloromethane	micrograms per liter	
P34371	Ethylbenzene	micrograms per liter	
P77128	Styrene	micrograms per liter	
P77353	tert-Butylbenzene	micrograms per liter	
P34546	trans 1,2-Dichloroethene	micrograms per liter	
P81551	Xylene	micrograms per liter	
H3	Tritium	picocuries per liter	H3_1s
SR90	Strontium-90	picocuries per liter	SR90_1s
