Site_id	Site_name	Parameters	Axis_title
435152112443101	ANP 6	CL, Na, SO4	Concentration, in milligrams per liter
435152112443101	ANP 6	NO3+NO2, O-PO4 as P	Concentration, in milligrams per liter
434856112400001	ANP 9	CL, Na	Concentration, in milligrams per liter
434856112400001	ANP 9	NO3+NO2	Concentration, in milligrams per liter
434856112400001	ANP 9	AS, CR, MO, U, ZN	Concentration, in micrograms per liter
434856112400001	ANP 9	BA	Concentration, in micrograms per liter
433509112384801	ARBOR TEST	CL	Concentration, in milligrams per liter
433223112470201	AREA 2	CL, Na, SO4	Concentration, in milligrams per liter
433223112470201	AREA 2	NO3+NO2	Concentration, in milligrams per liter
432638112484101	ATOMIC CITY	CL, Na	Concentration, in milligrams per liter
433042112535101	BADGING FACILITY	CL, Na, SO4	Concentration, in milligrams per liter
433042112535101	BADGING FACILITY	NO3+NO2	Concentration, in milligrams per liter
433440112554401	CPP 4	CL, Na	Concentration, in milligrams per liter
433440112554401	CPP 4	NO3+NO2	Concentration, in milligrams per liter
433051113002601	EBR 1	CL, Na	Concentration, in milligrams per liter
433051113002601	EBR 1	NO3+NO2	Concentration, in milligrams per liter
433548112562301	FIRE STA 2	CL, Na	Concentration, in milligrams per liter
433548112562301	FIRE STA 2	NO3+NO2	Concentration, in milligrams per liter
433256113002501	HIGHWAY 3	CL, Na	Concentration, in milligrams per liter
433256113002501	HIGHWAY 3	NO3+NO2	Concentration, in milligrams per liter
435153112420501	IET 1 DISP	CL, Na, SO4	Concentration, in milligrams per liter
435153112420501	IET 1 DISP	NO3+NO2, O-PO4 as P, NH3	Concentration, in milligrams per liter
432533112504901	LEO ROGERS 1	CL, Na	Concentration, in milligrams per liter
435038112453401	NO NAME 1	CL, Na	Concentration, in milligrams per liter
435038112453401	NO NAME 1	NO3+NO2	Concentration, in milligrams per liter
435038112453401	NO NAME 1	AS, CR, MO, U	Concentration, in micrograms per liter
435038112453401	NO NAME 1	BA	Concentration, in micrograms per liter
433449112523101	NPR TEST	CL, Na	Concentration, in milligrams per liter
433449112523101	NPR TEST	NO3+NO2	Concentration, in milligrams per liter
434941112454201	PSTF TEST	CL, Na	Concentration, in milligrams per liter
434941112454201	PSTF TEST	NO3+NO2	Concentration, in milligrams per liter
434941112454201	PSTF TEST	MO, U	Concentration, in micrograms per liter
434941112454201	PSTF TEST	BA	Concentration, in micrograms per liter
435419112453101	P AND W 2	CL, Na	Concentration, in milligrams per liter
435419112453101	P AND W 2	NO3+NO2	Concentration, in milligrams per liter
433617112542001	SITE 4	CL, Na, SO4	Concentration, in milligrams per liter
433123112530101	SITE 9	CL, Na, SO4	Concentration, in milligrams per liter
433123112530101	SITE 9	NO3+NO2	Concentration, in milligrams per liter
434334112463101	SITE 14	CL, Na	Concentration, in milligrams per liter
434334112463101	SITE 14	NO3+NO2	Concentration, in milligrams per liter
434027112575701	SITE 17	CL, Na, SO4	Concentration, in milligrams per liter
434027112575701	SITE 17	NO3+NO2	Concentration, in milligrams per liter
