Parameter	Name	Units	pch	col	bg	sd
pH	pH		21		#4DAF4A	
Spec. Cond.	Specific Conductance	microsiemens per cm	22		#377EB8	
Temp	Temperature	degree celsius	23		#E41A1C	
TOC	Total Organic Carbon	milligrams per liter	24		#33A02C	
NO3+NO2	Nitrate plus Nitrite as N	milligrams per liter	25		#FB9A99	
O-PO4 as P	Orthophosphate as P	milligrams per liter	21		#E31A1C	
ZN	Zinc	micrograms per liter	22		#FDBF6F	
U	Uranium	micrograms per liter	23		#1F78B4	
SE	Selenium	micrograms per liter	24		#6A3D9A	
NI	Nickel	micrograms per liter	25		#B15928	
MO	Molybdenum	micrograms per liter	0	#1B9E77		
MN	Manganese	micrograms per liter	1	#D95F02		
PB	Lead	micrograms per liter	2	#7570B3		
CU	Copper	micrograms per liter	3	#E7298A		
CO	Cobalt	micrograms per liter	4	#66A61E		
BA	Barium	micrograms per liter	5	#E6AB02		
AS	Arsenic	micrograms per liter	6	#A6761D		
CR	Chromium	micrograms per liter	7	#666666		
CL	Chloride	milligrams per liter	8	#A6CEE3		
SO4	Sulfate	milligrams per liter	9	#000000		
F	Fluoride	milligrams per liter	10	#000000		
BR	Bromide	milligrams per liter	11	#000000		
Na	Sodium	milligrams per liter	12	#E31A1C		
CA	Calcium	milligrams per liter	13	#000000		
MG	Magnesium	micrograms per liter	14	#000000		
K	Potassium	micrograms per liter	0	#A6CEE3		
SI	Silica	micrograms per liter	1	#1F78B4		
NH3	Ammonia	milligrams per liter	2	#B2DF8A		
SB	Antimony	micrograms per liter	3	#33A02C		
AG	Silver	micrograms per liter	4	#FB9A99		
HG	Mercury	micrograms per liter	5	#E31A1C		
CD	Cadmium	micrograms per liter	6	#FDBF6F		
TL	Thallium	micrograms per liter	7	#CAB2D6		
AL	Aluminum	micrograms per liter	8	#000000		
